icon,title,detail,issuer
fa-trophy,Honorary Title of Outstanding Graduate of Hohai University,2025 (1 of 101 students),Awarded by Hohai University
fa-medal,National Scholarship,2024,Awarded by the Ministry of Education of the People's Republic of China
fa-award,Outstanding Presenter,2023 - 12th Graduate Academic Annual Conference of Hohai University,Awarded by Hohai University
fa-award,Honorary Title of Outstanding Undergraduate Thesis,2022 - Hohai University,Awarded by Hohai University
fa-trophy,Honorary Title of Outstanding Graduate of Hohai University,2022 (1 of 101 students),Awarded by Hohai University
fa-medal,Outstanding Student Cadres of Jiangsu Province,"2021 (1 of about 2,500 students)",Awarded by the Jiangsu Provincial Department of Education
